Date,Close
03/03/2015 16:00:00,19.23
04/03/2015 16:00:00,19.14
05/03/2015 16:00:00,19.39
06/03/2015 16:00:00,19
09/03/2015 16:00:00,18.93
10/03/2015 16:00:00,18.48
11/03/2015 16:00:00,18.32
12/03/2015 16:00:00,18.71
13/03/2015 16:00:00,18.53
16/03/2015 16:00:00,18.67
17/03/2015 16:00:00,18.6
18/03/2015 16:00:00,18.76
19/03/2015 16:00:00,18.66
20/03/2015 16:00:00,18.92
23/03/2015 16:00:00,18.76
24/03/2015 16:00:00,18.7
25/03/2015 16:00:00,18.55
26/03/2015 16:00:00,18.37
27/03/2015 16:00:00,18.53
30/03/2015 16:00:00,18.73
31/03/2015 16:00:00,18.61
01/04/2015 16:00:00,18.51
02/04/2015 16:00:00,18.61
06/04/2015 16:00:00,18.85
07/04/2015 16:00:00,18.72
08/04/2015 16:00:00,19.06
09/04/2015 16:00:00,19.18
10/04/2015 16:00:00,19.13
13/04/2015 16:00:00,19.12
14/04/2015 16:00:00,19.26
15/04/2015 16:00:00,19.17
16/04/2015 16:00:00,19.3
17/04/2015 16:00:00,18.78
20/04/2015 16:00:00,19.48
21/04/2015 16:00:00,19.56
22/04/2015 16:00:00,19.49
23/04/2015 16:00:00,19.5
24/04/2015 16:00:00,22.26
27/04/2015 16:00:00,21.93
28/04/2015 16:00:00,21.47
29/04/2015 16:00:00,21.47
30/04/2015 16:00:00,21.09
01/05/2015 16:00:00,21.14
04/05/2015 16:00:00,21.15
05/05/2015 16:00:00,21.06
06/05/2015 16:00:00,20.96
07/05/2015 16:00:00,21.34
08/05/2015 16:00:00,21.68
11/05/2015 16:00:00,21.64
12/05/2015 16:00:00,21.55
13/05/2015 16:00:00,21.34
14/05/2015 16:00:00,21.61
15/05/2015 16:00:00,21.3
18/05/2015 16:00:00,21.26
19/05/2015 16:00:00,21.09
20/05/2015 16:00:00,21.19
21/05/2015 16:00:00,21.58
22/05/2015 16:00:00,21.38
26/05/2015 16:00:00,21.27
27/05/2015 16:00:00,21.57
28/05/2015 16:00:00,21.33
29/05/2015 16:00:00,21.46
01/06/2015 16:00:00,21.55
02/06/2015 16:00:00,21.55
03/06/2015 16:00:00,21.83
04/06/2015 16:00:00,21.54
05/06/2015 16:00:00,21.35
08/06/2015 16:00:00,21.18
09/06/2015 16:00:00,21.27
10/06/2015 16:00:00,21.54
11/06/2015 16:00:00,21.65
12/06/2015 16:00:00,21.5
15/06/2015 16:00:00,21.18
16/06/2015 16:00:00,21.36
17/06/2015 16:00:00,21.39
18/06/2015 16:00:00,21.97
19/06/2015 16:00:00,21.75
22/06/2015 16:00:00,21.81
23/06/2015 16:00:00,22.3
24/06/2015 16:00:00,22.04
25/06/2015 16:00:00,22.01
26/06/2015 16:00:00,21.91
29/06/2015 16:00:00,21.49
30/06/2015 16:00:00,21.7
01/07/2015 16:00:00,21.87
02/07/2015 16:00:00,21.89
06/07/2015 16:00:00,21.8
07/07/2015 16:00:00,21.84
08/07/2015 16:00:00,21.49
09/07/2015 16:00:00,21.72
10/07/2015 16:00:00,22.18
13/07/2015 16:00:00,22.78
14/07/2015 16:00:00,23.28
15/07/2015 16:00:00,23.06
16/07/2015 16:00:00,23.77
17/07/2015 16:00:00,24.15
20/07/2015 16:00:00,24.41
21/07/2015 16:00:00,24.4
22/07/2015 16:00:00,24.41
23/07/2015 16:00:00,24.11
24/07/2015 16:00:00,26.47
27/07/2015 16:00:00,26.57
28/07/2015 16:00:00,26.3
29/07/2015 16:00:00,26.45
30/07/2015 16:00:00,26.84
31/07/2015 16:00:00,26.81
03/08/2015 16:00:00,26.75
04/08/2015 16:00:00,26.6
05/08/2015 16:00:00,26.85
06/08/2015 16:00:00,26.47
07/08/2015 16:00:00,26.13
10/08/2015 16:00:00,26.2
11/08/2015 16:00:00,26.37
12/08/2015 16:00:00,26.3
13/08/2015 16:00:00,26.48
14/08/2015 16:00:00,26.58
17/08/2015 16:00:00,26.76
18/08/2015 16:00:00,26.75
19/08/2015 16:00:00,26.65
20/08/2015 16:00:00,25.79
21/08/2015 16:00:00,24.72
24/08/2015 16:00:00,23.17
25/08/2015 16:00:00,23.32
26/08/2015 16:00:00,25.04
27/08/2015 16:00:00,25.92
28/08/2015 16:00:00,25.9
31/08/2015 16:00:00,25.64
01/09/2015 16:00:00,24.83
02/09/2015 16:00:00,25.53
03/09/2015 16:00:00,25.24
04/09/2015 16:00:00,24.95
08/09/2015 16:00:00,25.88
09/09/2015 16:00:00,25.84
10/09/2015 16:00:00,26.11
11/09/2015 16:00:00,26.47
14/09/2015 16:00:00,26.07
15/09/2015 16:00:00,26.12
16/09/2015 16:00:00,26.37
17/09/2015 16:00:00,26.94
18/09/2015 16:00:00,27.01
21/09/2015 16:00:00,27.42
22/09/2015 16:00:00,26.92
23/09/2015 16:00:00,26.8
24/09/2015 16:00:00,26.69
25/09/2015 16:00:00,26.21
28/09/2015 16:00:00,25.2
29/09/2015 16:00:00,24.8
30/09/2015 16:00:00,25.59
01/10/2015 16:00:00,26.04
02/10/2015 16:00:00,26.63
05/10/2015 16:00:00,27.18
06/10/2015 16:00:00,26.87
07/10/2015 16:00:00,27.1
08/10/2015 16:00:00,26.66
09/10/2015 16:00:00,26.99
12/10/2015 16:00:00,27.51
13/10/2015 16:00:00,27.45
14/10/2015 16:00:00,27.24
15/10/2015 16:00:00,28.12
16/10/2015 16:00:00,28.54
19/10/2015 16:00:00,28.66
20/10/2015 16:00:00,28.04
21/10/2015 16:00:00,27.79
22/10/2015 16:00:00,28.2
23/10/2015 16:00:00,29.95
26/10/2015 16:00:00,30.43
27/10/2015 16:00:00,30.55
28/10/2015 16:00:00,30.86
29/10/2015 16:00:00,31.33
30/10/2015 16:00:00,31.3
02/11/2015 16:00:00,31.42
03/11/2015 16:00:00,31.27
04/11/2015 16:00:00,32.05
05/11/2015 16:00:00,32.78
06/11/2015 16:00:00,32.97
09/11/2015 16:00:00,32.77
10/11/2015 16:00:00,32.98
11/11/2015 16:00:00,33.66
12/11/2015 16:00:00,33.28
13/11/2015 16:00:00,32.12
16/11/2015 16:00:00,32.39
17/11/2015 16:00:00,32.17
18/11/2015 16:00:00,33.18
19/11/2015 16:00:00,33.06
